Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
WIIM,1415,-4.067796610169491%,1475,1475,1485,1415,1871,117040,16821379,2971321
OMRE,920,-4.166666666666666%,960,920,1170,920,86,399,39779,2709594
POLU,17250,-4.166666666666666%,18000,18000,18600,17100,138,219,386330,12937500
SMMT,2970,-4.193548387096775%,3100,3100,3100,2960,538,6915,2072619,10172250
DEFI,114,-4.201680672268908%,119,116,122,107,11702,1707852,19308170,78348
FUTR,270,-4.25531914893617%,282,282,286,256,4316,623515,16797366,1791599
SLIS,89,-4.301075268817205%,93,91,92,87,5815,898116,7947933,219240
AMMN,4900,-4.854368932038835%,5150,5125,5200,4870,35753,1215769,602597868,355339267
KEEN,860,-4.972375690607735%,905,895,895,850,1874,130424,11366755,3153029
FISH,665,-5%,700,710,710,630,258,4529,296650,3192000
MGNA,189,-5.025125628140704%,199,222,256,182,18617,1688585,37492422,644703
MUTU,132,-5.0359712230215825%,139,140,141,131,3815,439104,5881378,455694
JECC,845,-5.056179775280898%,890,905,910,820,351,2507,213422,638820
RELI,530,-5.357142857142857%,560,555,565,530,26,203,10819,954000
BKSW,51,-5.555555555555555%,54,53,53,51,661,243684,1247365,1775130
TIFA,302,-5.625%,320,316,320,302,364,6200,191520,1072768
HOKI,50,-5.6603773584905674%,53,52,53,50,2869,1031804,5180223,483888
KRYA,66,-5.714285714285714%,70,70,71,65,3224,525452,3522312,109820
HEXA,4140,-5.909090909090909%,4400,4400,4410,4130,4828,39739,16741410,3477600
TRIN,344,-6.0109289617486334%,366,360,378,326,5257,483806,16631203,1565701
DPUM,149,-6.289308176100629%,159,159,160,145,7649,744020,11275857,622075
BBSS,80,-6.976744186046512%,86,87,96,79,3891,1408455,12337341,384001
SCCO,2770,-7.046979865771812%,2980,2980,2980,2770,274,2496,710381,2277864
YULE,3800,-7.317073170731707%,4100,4130,4150,3560,85,197,77087,6783000
VAST,124,-7.462686567164178%,134,134,134,120,3591,297383,3738372,378911
JAYA,160,-8.045977011494253%,174,165,168,158,2458,185822,3017015,127760
FORU,3540,-11.940298507462686%,4020,4000,4060,3540,5093,51187,19234773,1646893
SAPX,322,-12.021857923497267%,366,350,386,312,7655,405228,13749066,268333
AGAR,2160,-14.624505928853754%,2530,2530,2530,2160,2315,16102,3674264,2160000

